gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,24.2594,auto,0.0,0.04,42.64
gfx950,256,16,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,18.9179,auto,0.0,0.87,62.96
gfx950,256,32,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,20.665,auto,0.0,1.59,65.72
gfx950,256,64,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,21.9084,auto,0.0,2.99,77.24
gfx950,256,128,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,31.8414,auto,0.0,4.12,74.13
gfx950,256,256,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,49.0384,auto,0.0,5.35,75.38
gfx950,256,512,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,50.1618,auto,0.0,10.45,126.97
gfx950,256,1024,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,132.7156,auto,0.0,7.9,88.27
gfx950,256,2048,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,131.8115,auto,0.0,15.91,169.98
gfx950,256,4096,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,101.6103,auto,0.0,41.28,430.92
gfx950,256,8192,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,101.715,auto,0.0,82.47,850.89
gfx950,256,16384,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,103.0716,auto,0.0,162.77,1669.45
gfx950,256,32768,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,110.6268,auto,0.0,303.31,3101.62
gfx950,256,1,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,24.9311,auto,0.0,0.08,82.57
gfx950,256,16,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,19.4155,auto,0.0,1.69,114.25
gfx950,256,32,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,21.489,auto,0.0,3.05,111.15
gfx950,256,64,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,22.9195,auto,0.0,5.72,119.07
gfx950,256,128,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,33.6484,auto,0.0,7.79,101.34
gfx950,256,256,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,48.3964,auto,0.0,10.83,98.6
gfx950,256,512,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,46.1295,auto,0.0,22.73,162.49
gfx950,256,1024,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,153.9655,auto,0.0,13.62,84.07
gfx950,256,2048,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,152.8232,auto,0.0,27.45,155.99
gfx950,256,4096,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,106.0943,auto,0.0,79.07,430.08
gfx950,256,8192,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,107.2911,auto,0.0,156.37,831.48
gfx950,256,16384,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,109.2356,auto,0.0,307.17,1614.62
gfx950,256,32768,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,120.4976,auto,0.0,556.93,2910.43
gfx950,256,1,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.9988,auto,0.0,0.34,341.84
gfx950,256,16,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,19.3848,auto,0.0,6.76,432.37
gfx950,256,32,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,21.7693,auto,0.0,12.04,393.71
gfx950,256,64,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.8795,auto,0.0,21.96,374.79
gfx950,256,128,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,33.711,auto,0.0,31.1,287.96
gfx950,256,256,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,47.7622,auto,0.0,43.91,234.98
gfx950,256,512,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,45.1338,auto,0.0,92.93,315.82
gfx950,256,1024,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,169.7397,auto,0.0,49.42,119.69
gfx950,256,2048,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,170.1752,auto,0.0,98.59,190.63
gfx950,256,4096,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,111.1677,auto,0.0,301.84,509.94
gfx950,256,8192,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,117.7072,auto,0.0,570.13,893.62
gfx950,256,16384,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,227.3613,auto,0.0,590.33,889.24
gfx950,256,32768,800,5120,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,433.4434,auto,0.0,619.31,914.0
gfx950,256,1,5120,640,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,7.0164,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0012,0.93,935.68
gfx950,256,1,5120,1280,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7819,2,5.6405,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0033,2.32,2326.03
gfx950,256,1,5120,3200,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,11.5446,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.008,2.84,2839.82
gfx950,256,1,5120,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4411,5,11.4563,flydsl_gemm3_abf16_wbf16_bf16_t16x128x128_split_k5_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,4.58,4578.2
gfx950,256,1,5120,6400,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,17.8122,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0098,3.68,3680.57
gfx950,256,1,5120,25600,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,46.8386,native,0.0,5.6,5598.06
